label,tweet_id
other_useful_information,'503642976422096896'
infrastructure_and_utilities_damage,'503642976976113664'
injured_or_dead_people,'503642977588494337'
infrastructure_and_utilities_damage,'503642979429388288'
other_useful_information,'503642980881022976'
other_useful_information,'503642982189252608'
other_useful_information,'503642983666032640'
other_useful_information,'503642984429395968'
injured_or_dead_people,'503642985167609856'
other_useful_information,'503642985431830528'
sympathy_and_emotional_support,'503642988522647552'
infrastructure_and_utilities_damage,'503642992541171712'
other_useful_information,'503642993677443072'
other_useful_information,'503642995879849985'
not_related_or_irrelevant,'503642996584513536'
other_useful_information,'503642998664884225'
caution_and_advice,'503642998832242689'
other_useful_information,'503643000913006593'
infrastructure_and_utilities_damage,'503643001185636352'
other_useful_information,'503643001722118144'
other_useful_information,'503643002875969536'
not_related_or_irrelevant,'503643003508883458'
injured_or_dead_people,'503643004759195650'
injured_or_dead_people,'503643009817128960'
other_useful_information,'503643010127499264'
other_useful_information,'503643011990183936'
infrastructure_and_utilities_damage,'503643013852463104'
injured_or_dead_people,'503643016653860864'
other_useful_information,'503643018906570752'
injured_or_dead_people,'503643019653181440'
infrastructure_and_utilities_damage,'503643027076694016'
other_useful_information,'503643028591218688'
other_useful_information,'503643029559734272'
sympathy_and_emotional_support,'503643031367467008'
infrastructure_and_utilities_damage,'503643033016233985'
other_useful_information,'503643033280462848'
other_useful_information,'503643033905410048'
other_useful_information,'503643033909202947'
other_useful_information,'503643036996227073'
injured_or_dead_people,'503643039764860932'
caution_and_advice,'503643040171700225'
sympathy_and_emotional_support,'503643042926977025'
other_useful_information,'503643044642848768'
other_useful_information,'503643044827394048'
infrastructure_and_utilities_damage,'503643045305516033'
not_related_or_irrelevant,'503643045867188224'
injured_or_dead_people,'503643050128592896'
other_useful_information,'503643051378483200'
injured_or_dead_people,'503643054327484418'
other_useful_information,'503643056567255040'
other_useful_information,'503643056629768192'
other_useful_information,'503643062715703296'
injured_or_dead_people,'503643062913212416'
injured_or_dead_people,'503643063450083328'
other_useful_information,'503643063529398272'
infrastructure_and_utilities_damage,'503643073335685120'
not_related_or_irrelevant,'503643074514272256'
infrastructure_and_utilities_damage,'503643077836546048'
other_useful_information,'503643080005013505'
sympathy_and_emotional_support,'503643081066184704'
other_useful_information,'503643081871089664'
other_useful_information,'503643093589958657'
other_useful_information,'503643095204782081'
other_useful_information,'503643096567926784'
infrastructure_and_utilities_damage,'503643096601858048'
other_useful_information,'503643097293914112'
other_useful_information,'503643098891575296'
infrastructure_and_utilities_damage,'503643100204773377'
other_useful_information,'503643104709066752'
infrastructure_and_utilities_damage,'503643105338216448'
injured_or_dead_people,'503643105485004800'
injured_or_dead_people,'503643109620588544'
other_useful_information,'503643111206027264'
infrastructure_and_utilities_damage,'503643112363671552'
not_related_or_irrelevant,'503643113793933312'
other_useful_information,'503643117308764160'
injured_or_dead_people,'503643117648486400'
