503642998832242689,This photo is very California. #napa #earthquake http://t.co/ZChvmbR369
503643131624292352,Photos show earthquake devastation in Napa wine country http://t.co/cGCobSLUn5
503643013852463104,6.0 magnitude earthquake hits northern California.
http://t.co/f8JOGb8rbY
Skaters finding upside to quake damage.
http://t.co/88yuin1EE2
503643154797854720,Wow! Just some of the the damage the #NapaQuake had on the city &amp; its historic areas http://t.co/wBXVst6VuC
503643081066184704,Okay, if you live in Napa Valley California, why let a little 6.0 magnitude earthquake ruin your day? http://t.co/azwgbgVm8R
503642985167609856,Typical. I go to San Francisco and there's an earthquake. Happened at 3.30am, woke us up. No damage around here anyway
503642995879849985,Meadowbrook Lane in Napa-- skaters finding upside to quake damage. Photo from #nbcbayarea photog Jeremy Carroll http://t.co/aoSh1SWfLT
503643126141947904,Chabad center in Napa Valley damaged by #earthquake, but rabbi quickly attends to his community. http://t.co/x31LFXqUoZ
503643137663725568,Big earthquake in Napa this morning. Locals described it as "vibrant and intense, but not overly flamboyant with a clean, earthy finish."
503643039764860932,HOT HT to explore  #ilovejackjbecause #THISISHOWWEDOVMAS #llamasup #napaquake pwrd by http://t.co/c950b2nsbd
503643063529398272,Watching RAW VIDEO: Skateboarders Ride Over Buckled Napa Streets http://t.co/GPI5P2x5Wz
503643028591218688,#BREAKING All Napa Valley Unified School District schools will be closed tomorrow. http://t.co/ppkRaYb6Xs #napaquake
503643019653181440,Don't worry guys. People in Napa only care about the earthquake cause all their wine bottles broke. #sfearthquake
503643158748880896,This photo is very California. #napa #earthquake http://t.co/ZChvmbR369
503642992541171712,MT @vickydnguyen
Meadowbrook Lane in Napa-- skaters finding upside to #earthquake damage. Photo from Jeremy Carroll http://t.co/yoE3DfGROh
503642976422096896,A 6.1 magnitude earthquake occurred 3.73mi WSW of American Canyon, California. Details: http://t.co/TdbXdyM5U9 Map: http://t.co/JCnOlyZ5Ke
503643105338216448,Sharing Twitter pictures from last night #napaearthquake...(via @nelson @alawine @vinography) http://t.co/kzoMOcxqOY RT @currentlyFeed
503643033016233985,So sad. RT @nbcchicago: Napa Valley winery loses hundreds of bottles following Sunday's #earthquake (cont) http://t.co/LKx3PnCZ7f
503643104709066752,Earthquake Strikes Napa Valley; Wineries Assess Damage (Wine Spectator): Dozens injured, buildings damaged and... http://t.co/xsS8xrPmWz
503643004759195650,2 shelters open for #napaquake: Crosswalk Cmnty Church, 2590 1st St, #NAPA &amp; Florence Douglas Cntr, 333 Amador St, #VALLEJO @redcrossbayarea
503643130923466753,Stay away from downed power lines - immediately call 911 and PG&amp;E to report at 1-800-PGE-5000. #napaquake #southnapaquake
503643062715703296,This photo is very California. #napa #earthquake http://t.co/ZChvmbR369
503643040171700225,What 6.0 #earthquake did to #Napa Many injuries, no known deaths. http://t.co/w61mvthCMV http://t.co/qdC3spGORG
503642977588494337,UC Berkeley's early warning system gave residents 10 seconds to prepare for the #napaquake. http://t.co/vRFhAtVOZB
503643151970869249,California hospital receives 120 patients related to the 6.0 magnitude earthquake, hospital president says. http://t.co/S2v5wea8ET
503643001722118144,This looks like quite a good summary of #Napa #earthquake damage to wineries &amp; other biz - could have been lots worse http://t.co/3bhIRdMRdd
503643063450083328,Wow! It'll be a real puzzle organizing that room. RT @matthiassonwine: Will be barrel pickup sticks #napaearthquake http://t.co/qKQxzKsUqt
503643036996227073,Wineries and other businesses in Northern California's wine country assess damage after today's earthquake http://t.co/F8CZDfoPli
503643062913212416,California winemakers cleaning up after quake - http://t.co/sSXEnGlF5d
503643144148099072,#BREAKING All Napa Valley Unified School District schools will be closed tomorrow. http://t.co/ppkRaYb6Xs #napaquake
503643033909202947,Some injuries, damage, and power outages reported in 6.0 #earthquake centered 6 miles SSW of Napa. http://t.co/upYet3NeNL
503643033905410048,Napa streets turned skate park after 6.0 quake, via @vickydnguyen http://t.co/jDlJGGV7Fa
503643056629768192,#NapaQuake Reaction: Tweets from people near the epicenter of this morning's earthquake. http://t.co/FyHOHpUbI4 http://t.co/wG3Ic1gFPG
503643010127499264,True story lol #napa #earthquake #earthquake2014 #california http://t.co/3k1tZ83Ob2
503643156668096513,USGS: 6.0 earthquake shakes Northern #California http://t.co/IEPY1MOfFq #caeq http://t.co/dUxyzuHMoP
503643011990183936,6.0 magnitude quake Shake California-Napa ?

 http://t.co/oQFOgpI1Zz
503643117308764160,#Napaquake update: More than 100 people injured, 6 of whom are in critical condition. http://t.co/24Db832o4U http://t.co/qo73jWuVn2
503642976976113664,We now have more than 100 photos of #earthquake damage from Napa: http://t.co/2t4PIFsDty Tons of coverage on @SFGate http://t.co/Iov8jbXDx8
503643159239622656,Photos: Powerful earthquake shakes Northern California http://t.co/TkbLXYXrMZ http://t.co/sNWkFLBZzA
503643105485004800,Napa Valley Earthquake: Not too shaken, just a little stirred in Sonoma County: I terrible pun, I know, but ac... http://t.co/NYOn03jyOf
503643128994086912,California earthquake: Bay area hardest-hit in 25 years http://t.co/wAev3X8JOB http://t.co/1z3GpDv87a
503643096567926784,6.0 earthquake shakes Northern California: The USGS says its the largest earthquake to shake the Bay Area sinc... http://t.co/X0ydrLeyFO
503642984429395968,The earthquake in Northern California left the area devastated http://t.co/IgvuEFdYad
503643080005013505,Napa official: 15 to 16 buildings not inhabitable after quake, limited access to many o (from @AP) http://t.co/fBjpS96ooV
503643128931565568,Tonight @CBCTWTW: CA #quake; remembering #JamesFoley; a journo freed in Syria; #Pooh is 100.  CBC R1 at 6 pm ET/MT/CT/PT, 7 pmAT/7:30 pmNT
503643109620588544,Napa area Winery--
RT @DavidSilverOak: Earthquake at @SilverOak http://t.co/Dwdrvv5Af6
503643136636506112,The latest from AP reporters on scene after California earthquake causes damage, injuries http://t.co/J6i8nIb2Tn
503643138968133632,RT MT Cal OES @Cal_OES @CaltransHQ has deployed dive teams to Bay Area toll bridges for #Napa quake #napaquake
503642988522647552,Photos: Powerful earthquake shakes Northern California http://t.co/TkbLXYXrMZ http://t.co/sNWkFLBZzA
503643033280462848,No golf courses were harmed MT. @iResistAll Obama released this graphic on the #earthquake in Napa via FEMA http://t.co/Xb42N77kFj
503643016653860864,Meadowbrook Lane in Napa-- skaters finding upside to quake damage. Photo from #nbcbayarea photog Jeremy Carroll http://t.co/aoSh1SWfLT
503643018906570752,The essence of being human: skaters explore upside to Napa quake damage. cc @GreatDismal http://t.co/LzekB7RBYr
503643095204782081,Chargers-49ers game still on after 6.1 earthquake in Bay Area: By Cindy Boren August 24 at 1:17 PM Follow @cin... http://t.co/jUoRSoORO1
503642993677443072,This photo is very California. #napa #earthquake http://t.co/ZChvmbR369
503643159088218112,A state of emergency has been declared after a 6.0 quake hit Napa Valley, #California. #napaquake updates on #Today9 http://t.co/jeuTjAUidI
503642998664884225,6.0-magnitude earthquake hits Northern California http://t.co/m267OQmbRf #losangeles
503643073335685120,1 of 30 water main breaks in Napa after the quake. It's the one that cause water pressure problems fighting the fire http://t.co/yKRB8Dtxi3
503643054327484418,Winemakers are surveying the damage following the #Napaquake. http://t.co/zJRWlPTM5P http://t.co/4ZAagS3dIc
503643127253450753,120 injured in 6.0 Napa Valley earthquake; some buildings uninhabitable http://t.co/KhsDGOko0S via @news10_ca
503643146115223552,#NapaEarthquake is causing some traffic concerns - http://t.co/aUShh6allG
503643093589958657,Wow.  6.0 earthquake causes injuries and freaks everyone out.  What will happen to California when the inevitable 9.0 strikes?
503643000913006593,Napa County officials are using a drone to assess damage at the top of buildings. #quake #SouthNapaQuake
503643156358115328,This photo is very California. #napa #earthquake http://t.co/ZChvmbR369
503642982189252608,BREAKING NEWS! THE REPUBLICANS HAVE BLAMED OBAMA FOR THE EARTHQUAKE IN CALIFORNIA!!(tgj) #cnn #foxnews #msnbc #snl #comedycentral #mtv #tmz
503643124787609600,Meadowbrook Lane in Napa-- skaters finding upside to quake damage. Photo from #nbcbayarea photog Jeremy Carroll http://t.co/aoSh1SWfLT
503643029559734272,Great partners and great #napaquake response info: @Cal_OES @CaltransHQ @theCaGuard @CAL_FIRE @CHP_GoldenGate @femaregion9 @NapaPD
503642985431830528,Hoping that everyone involved in the Napa #earthquake is okay. Thank you to all the incredible rescue workers.
503643098891575296,Dozens injured, 6 critically, after strong earthquake in California http://t.co/w1khUM7aCG
503643081871089664,People who aren't from California: "California aka earthquake land, whaT IF I DIE?"
Californians: "whoa wtf an earthquake omg"
503643127132221440,California winemakers cleaning up after quake (from @AP) http://t.co/G54bdOzvfn
503643077836546048,The latest on damaging earthquake in California (from @AP) http://t.co/ECtTL3sdJc
503643229460262912,Big earthquake in Napa.Locals described it as "vibrant and intense, but not overly flamboyant with a clean, earthy finish.@alannadrasin
503643227074080768,Sad day for so many reasons #earthquake #napa stole this one from Silver Oaks http://t.co/XrcCCCteui
503643266907402240,Dozens injured after California earthquake | U.S./World News  - Home http://t.co/mpFKq6pRru
503643244337451008,Worst earthquake in 25 years rocks California http://t.co/0armLv5HNY
503643196945997825,No golf courses were harmed MT. @iResistAll Obama released this graphic on the #earthquake in Napa via FEMA http://t.co/Xb42N77kFj
503643236267982850,Strong 6.1 Earthquake Rocks San Francisco Bay Area, Injures 87+, Significant Damage In Napa  http://t.co/ibSTSBU9BJ
503643176272265216,State of emergency declared after 6.0-magnitude quake hits California http://t.co/W4Ne9bNyjK http://t.co/tnzjALoc1L
503643280475582464,Some wineries suffered major damage in today's quake in Napa. Others little or none. This pic is from Etude. http://t.co/sR1hUc7hO2
503643222598356992,Earthquake rattles, doesn't wreck Napa wineries - USA TODAY http://t.co/2uHaZ1DxKG
503643233834893313,Dozens Injured In San Francisco Earthquake http://t.co/FQQHEC71Xv
503643168324071424,Only in Napa. SECURE THE WINE!  #NAPAQuake http://t.co/VzdARNP4Ks
503643171352739842,.@CaltransHQ has deployed dive teams to Bay Area toll bridges for #Napa quake
503643168941015040,With #Jesus we can alter lives on earth and the hereafter. Speak life in your daily routine. #Napa  #EarthQuake #Supernatural  #TeamJesus
503643212112994305,Napa earthquake: 6.1 quake hits Bay Area: Did you feel it? http://t.co/knoHgIeDAq
503643227858030593,This is what a 6.1 #earthquake did to some roads in #Napa @nbcbayarea @weatherchannel #BayAreaQuake http://t.co/Vocezt0scQ
503643283294142464,Dozens injured after California earthquake | U.S./World News - Home http://t.co/QCZrZTnab2
503643256409030657,Yikes! #BePrepared RT @GavinNewsom: Wow! Just some of the damage #NapaQuake had on the city &amp; its historic areas http://t.co/6Y6wHv2pJm
503643181620015104,Office and business space at Brown and Second streets appears close to toppling #napaquake @mercnews http://t.co/2ZPE29R6Ab
503643190864257024,McCain Uses California Earthquake to Criticize Obama http://t.co/ntHfUZiZtw via @dailykos
503643213979070465,Our town is just a MESS .... :( #napaearthquake
503643235265576960,What a shot of quake damage in Napa wine country. http://t.co/3zapEL8dJE
503643263018872832,Lemonade RT @passantino: Napa streets turned skate park after 6.0 quake, via @vickydnguyen http://t.co/SvOSKb32Eb
503643164834803712,Literally the most California thing ever RT @vickydnguyen: Napa-- skaters finding upside to quake damage. http://t.co/cuRZfw4SiK
503643280400453633,Hospital president: Critical child patient just airlifted from Queens to trauma center #napaearthquake @mercnews
503643187903488000,Is your home earthquake ready? A good time to review these tips, from @latimes: http://t.co/VVWa4Hno29 #napaquake http://t.co/xcDMZv5gcm
503643237022564352,Worst earthquake in 25 years rocks California http://t.co/Gj52Qwk0r9
503643205280468992,This photo is very California. #napa #earthquake http://t.co/ZChvmbR369
503643204865236992,Plenty of empty seats on this sad Sunday in the Bay Area. Lackluster game coupled with tragic Earthquake surely to blame. #napaquake
503643240000540672,@LearnSomethlng PLEASE RETWEET #perspective this is #earthquake not #GazaUnderAttack by #israel Staysafe #napaquake   http://t.co/EqxuEYuUft
503643216084602880,Wineries and other businesses in Northern California's wine country assess damage after today's earthquake http://t.co/F8CZDfoPli
503643207486283776,This photo is very California. #napa #earthquake http://t.co/ZChvmbR369
503643214834724864,City of Vallejo earthquake updates here http://t.co/rKZTKVUy3j
503643175550861314,California winemakers cleaning up after #NapaQuake http://t.co/kt4oGmF5E2 http://t.co/7EtIC17B0Y
503643260590759936,Meadowbrook Lane in Napa-- skaters finding upside to quake damage. Photo from #nbcbayarea photog Jeremy Carroll http://t.co/aoSh1SWfLT
503643215950389249,The latest on damaging earthquake in California: NAPA, Calif. (AP) ? This is what Associated Press reporters on the scene are learnin...
503643180508909570,"Anyone have an extra newspaper building we could borrow?" @NapaRegister office: #NapaQuake https://t.co/6Yv5kj17X7 http://t.co/HNdRm5iSdO
503643171775983616,Wow! It'll be a real puzzle organizing that room. RT @matthiassonwine: Will be barrel pickup sticks #napaearthquake http://t.co/qKQxzKsUqt
503643162515349505,For the100 injured &amp; 6 critically in #NapaQuake I hope healing comes quickly. Truly a shocker &amp; shaker. Sad to see the damage to the area =(
503643205879861250,MT @vickydnguyen: Skater finds upside to #earthquake damage in #Napa. Photo by Jeremy Carroll. http://t.co/vujP2A9Np2 via @vickydnguyen
503643166453825537,The quake in #Napa is a good reminder to review what to do during an #earthquake. http://t.co/F4djtncj4M
503643214180392961,The latest on damaging earthquake in California: NAPA, Calif. (AP) ? This is what Associated Press reporters on the scene are learnin...
