choose_one_category,tweet_id
sympathy_and_emotional_support,'451187618697736192'
not_related_or_irrelevant,'451187620945887232'
sympathy_and_emotional_support,'451187621843070976'
infrastructure_and_utilities_damage,'451187621901791232'
other_useful_information,'451187622077947904'
other_useful_information,'451187623252336640'
other_useful_information,'451187624099577856'
other_useful_information,'451187624586510336'
injured_or_dead_people,'451187625114611712'
other_useful_information,'451187630277812224'
caution_and_advice,'451187630542032897'
not_related_or_irrelevant,'451187631507132416'
other_useful_information,'451187635709440000'
not_related_or_irrelevant,'451187637437476865'
not_related_or_irrelevant,'451187637463031808'
not_related_or_irrelevant,'451187638515421184'
other_useful_information,'451187640490942464'
sympathy_and_emotional_support,'451187641808330752'
caution_and_advice,'451187643259580416'
sympathy_and_emotional_support,'451187644048084992'
other_useful_information,'451187646560104449'
not_related_or_irrelevant,'451187646602047488'
sympathy_and_emotional_support,'451187647226998784'
other_useful_information,'451187647499616256'
sympathy_and_emotional_support,'451187650439815168'
injured_or_dead_people,'451187651509755904'
other_useful_information,'451187656257708032'
sympathy_and_emotional_support,'451187658052476928'
sympathy_and_emotional_support,'451187659151400961'
not_related_or_irrelevant,'451187659709235200'
not_related_or_irrelevant,'451187660858462208'
sympathy_and_emotional_support,'451187668710617088'
sympathy_and_emotional_support,'451187669251280896'
other_useful_information,'451187669302009857'
infrastructure_and_utilities_damage,'451187669851467777'
injured_or_dead_people,'451187671235584000'
other_useful_information,'451187671235584001'
sympathy_and_emotional_support,'451187673521483776'
not_related_or_irrelevant,'451187673693044736'
other_useful_information,'451187674385117185'
other_useful_information,'451187674473574400'
sympathy_and_emotional_support,'451187675899240448'
other_useful_information,'451187677992214528'
caution_and_advice,'451187678386847745'
caution_and_advice,'451187681817395200'
other_useful_information,'451187682694406144'
other_useful_information,'451187682824433664'
sympathy_and_emotional_support,'451187684237910017'
other_useful_information,'451187685227765760'
sympathy_and_emotional_support,'451187685307068416'
sympathy_and_emotional_support,'451187686075039744'
other_useful_information,'451187687660068864'
other_useful_information,'451187693494759425'
injured_or_dead_people,'451187697910939648'
other_useful_information,'451187697952907264'
sympathy_and_emotional_support,'451187698309406720'
sympathy_and_emotional_support,'451187699374780416'
sympathy_and_emotional_support,'451187700436324352'
other_useful_information,'451187704454475776'
other_useful_information,'451187704928034816'
displaced_people_and_evacuations,'451187705524006912'
caution_and_advice,'451187707856027648'
caution_and_advice,'451187709956997120'
sympathy_and_emotional_support,'451187710049652736'
caution_and_advice,'451187710623899648'
sympathy_and_emotional_support,'451187710854967296'
other_useful_information,'451187712008003584'
caution_and_advice,'451187716151980032'
sympathy_and_emotional_support,'451187717183795200'
other_useful_information,'451187717485768705'
other_useful_information,'451187718282698752'
sympathy_and_emotional_support,'451187719767474176'
not_related_or_irrelevant,'451187722493779970'
caution_and_advice,'451187723089760256'
other_useful_information,'451187723349786624'
caution_and_advice,'451187724863545344'
other_useful_information,'451187725409218560'
sympathy_and_emotional_support,'451187726008991744'
other_useful_information,'451187726017376256'
other_useful_information,'451187726151593984'
donation_needs_or_offers_or_volunteering_services,'451187726402867200'
caution_and_advice,'451187729167286273'
other_useful_information,'451187729460895744'
not_related_or_irrelevant,'451187729842581504'
sympathy_and_emotional_support,'451187729976397824'
other_useful_information,'451187731809697792'
sympathy_and_emotional_support,'451187732866682880'
injured_or_dead_people,'451187734154326016'
other_useful_information,'451187734452129792'
sympathy_and_emotional_support,'451187734455926784'
other_useful_information,'451187734720172032'
sympathy_and_emotional_support,'451187734736928768'
infrastructure_and_utilities_damage,'451187736032976896'
sympathy_and_emotional_support,'451187736808943617'
sympathy_and_emotional_support,'451187736989278208'
other_useful_information,'451187739010936832'
other_useful_information,'451187739547795456'
displaced_people_and_evacuations,'451187739980234752'
other_useful_information,'451187741238120448'
sympathy_and_emotional_support,'451187741326192640'
sympathy_and_emotional_support,'451187741754417153'
other_useful_information,'451187742106337280'
other_useful_information,'451187742668767234'
other_useful_information,'451187742857109504'
injured_or_dead_people,'451187742911651840'
other_useful_information,'451187743201038336'
not_related_or_irrelevant,'451187744782315520'
other_useful_information,'451187745126227971'
other_useful_information,'451187745990656000'
other_useful_information,'451187748804648960'
not_related_or_irrelevant,'451187749077663744'
other_useful_information,'451187750213910528'
other_useful_information,'451187750231093248'
caution_and_advice,'451187750805323776'
sympathy_and_emotional_support,'451187753904910336'
other_useful_information,'451187754198896640'
not_related_or_irrelevant,'451187754693443584'
other_useful_information,'451187755293233152'
other_useful_information,'451187756056584192'
other_useful_information,'451187756769611776'
sympathy_and_emotional_support,'451187757524987904'
not_related_or_irrelevant,'451187760670326784'
other_useful_information,'451187761202999296'
injured_or_dead_people,'451187762259980288'
sympathy_and_emotional_support,'451187762436116481'
sympathy_and_emotional_support,'451187762603900928'
other_useful_information,'451187763639885824'
sympathy_and_emotional_support,'451187764261040128'
caution_and_advice,'451187767251173376'
not_related_or_irrelevant,'451187767507447808'
caution_and_advice,'451187767964602368'
other_useful_information,'451187769478348800'
injured_or_dead_people,'451187770493779968'
other_useful_information,'451187770766020608'
other_useful_information,'451187770837315584'
caution_and_advice,'451187772141744128'
other_useful_information,'451187774310596609'
sympathy_and_emotional_support,'451187774557650944'
sympathy_and_emotional_support,'451187774771953664'
injured_or_dead_people,'451187774977110016'
caution_and_advice,'451187776763858944'
caution_and_advice,'451187780555522048'
injured_or_dead_people,'451187781172494336'
displaced_people_and_evacuations,'451187785236742144'
not_related_or_irrelevant,'451187785857114112'
sympathy_and_emotional_support,'451187786821816321'
sympathy_and_emotional_support,'451187787199311872'
caution_and_advice,'451187787531055104'
caution_and_advice,'451187788764168192'
other_useful_information,'451187789426884608'
caution_and_advice,'451187791939252225'
caution_and_advice,'451187792538648577'
sympathy_and_emotional_support,'451187794577481728'
sympathy_and_emotional_support,'451187797890973696'
other_useful_information,'451187798574243840'
injured_or_dead_people,'451187799644184576'
not_related_or_irrelevant,'451187800902094848'
sympathy_and_emotional_support,'451187804001665024'
sympathy_and_emotional_support,'451187804056592384'
not_related_or_irrelevant,'451187805885308928'
caution_and_advice,'451187806342086656'
not_related_or_irrelevant,'451187806509862912'
not_related_or_irrelevant,'451187806954479616'
not_related_or_irrelevant,'451187810079625216'
not_related_or_irrelevant,'451187810179899392'
not_related_or_irrelevant,'451187810771288064'
caution_and_advice,'451187811128209409'
sympathy_and_emotional_support,'451187811719192576'
not_related_or_irrelevant,'451187814399373312'
other_useful_information,'451187816253251584'
caution_and_advice,'451187816299786241'
other_useful_information,'451187816329121792'
caution_and_advice,'451187818094944256'
sympathy_and_emotional_support,'451187821483524096'
other_useful_information,'451187822243110912'
other_useful_information,'451187823354585088'
other_useful_information,'451187825695002624'
not_related_or_irrelevant,'451187826626150400'
not_related_or_irrelevant,'451187827301421056'
caution_and_advice,'451187829234999296'
other_useful_information,'451187830283202560'
not_related_or_irrelevant,'451187835534458880'
not_related_or_irrelevant,'451187835853225984'
sympathy_and_emotional_support,'451187841004212224'
other_useful_information,'451187842723479552'
caution_and_advice,'451187845030756352'
sympathy_and_emotional_support,'451187845605392385'
sympathy_and_emotional_support,'451187846817525763'
sympathy_and_emotional_support,'451187846934581248'
sympathy_and_emotional_support,'451187849384439808'
other_useful_information,'451187850478768128'
other_useful_information,'451187850818879489'
other_useful_information,'451187852550746113'
other_useful_information,'451187853511258115'
other_useful_information,'451187854740185088'
injured_or_dead_people,'451187858842206209'
injured_or_dead_people,'451187860234719232'
sympathy_and_emotional_support,'451187861685948416'
injured_or_dead_people,'451187865394094080'
other_useful_information,'451187865418866688'
other_useful_information,'451187865582452736'
caution_and_advice,'451187866459443200'
injured_or_dead_people,'451187866602053632'
other_useful_information,'451187866958565377'
other_useful_information,'451187867058851840'
caution_and_advice,'451187871425130497'
caution_and_advice,'451187873950097409'
sympathy_and_emotional_support,'451187875963760642'
other_useful_information,'451187875988897792'
caution_and_advice,'451187877737922560'
infrastructure_and_utilities_damage,'451187878438375424'
sympathy_and_emotional_support,'451187879180390400'
sympathy_and_emotional_support,'451187879465603073'
injured_or_dead_people,'451187879742431232'
other_useful_information,'451187880962961408'
not_related_or_irrelevant,'451187881940246528'
sympathy_and_emotional_support,'451187882288349184'
sympathy_and_emotional_support,'451187882578165760'
other_useful_information,'451187882862968832'
other_useful_information,'451187884486168576'
sympathy_and_emotional_support,'451187884692086784'
other_useful_information,'451187885639626752'
not_related_or_irrelevant,'451187886163886081'
not_related_or_irrelevant,'451187886566547456'
injured_or_dead_people,'451187889750028289'
injured_or_dead_people,'451187891931070464'
other_useful_information,'451187894032420864'
not_related_or_irrelevant,'451187895034863616'
not_related_or_irrelevant,'451187896276365312'
not_related_or_irrelevant,'451187896410570752'
other_useful_information,'451187896977211392'
sympathy_and_emotional_support,'451187898654949376'
not_related_or_irrelevant,'451187901767110657'
other_useful_information,'451187902114844672'
not_related_or_irrelevant,'451187903423868928'
not_related_or_irrelevant,'451187903951933440'
sympathy_and_emotional_support,'451187906854793216'
other_useful_information,'451187907412230146'
not_related_or_irrelevant,'451187907613949952'
injured_or_dead_people,'451187908876439552'
caution_and_advice,'451187909203619841'
injured_or_dead_people,'451187909358792704'
not_related_or_irrelevant,'451187909568520192'
not_related_or_irrelevant,'451187910964809729'
not_related_or_irrelevant,'451187912177385473'
sympathy_and_emotional_support,'451187912298987520'
other_useful_information,'451187912558657537'
displaced_people_and_evacuations,'451187912907161600'
sympathy_and_emotional_support,'451187914794622976'
injured_or_dead_people,'451187915859582977'
caution_and_advice,'451187918024212481'
not_related_or_irrelevant,'451187921517703168'
other_useful_information,'451187922583425024'
other_useful_information,'451187923002880000'
caution_and_advice,'451187923287695360'
sympathy_and_emotional_support,'451187926664495104'
other_useful_information,'451187927142260737'
other_useful_information,'451187928538963968'
infrastructure_and_utilities_damage,'451187930296360960'
