label,tweet_id
other_useful_information,'382813388503412736'
not_related_or_irrelevant,'382813391435206659'
not_related_or_irrelevant,'382813401845485568'
donation_needs_or_offers_or_volunteering_services,'382813437513834497'
injured_or_dead_people,'382813440655376384'
other_useful_information,'382813444011204608'
other_useful_information,'382813445495586816'
not_related_or_irrelevant,'382813466014121984'
injured_or_dead_people,'382813467528282112'
injured_or_dead_people,'382813501489946624'
other_useful_information,'382813501729017856'
not_related_or_irrelevant,'382813514881982464'
donation_needs_or_offers_or_volunteering_services,'382813518602313729'
other_useful_information,'382813530396700672'
other_useful_information,'382813532305096705'
other_useful_information,'382813540366954497'
injured_or_dead_people,'382813540413095936'
missing_trapped_or_found_people,'382813561875361792'
not_related_or_irrelevant,'382813565054226432'
injured_or_dead_people,'382813569597071360'
injured_or_dead_people,'382813587410259968'
donation_needs_or_offers_or_volunteering_services,'382813601024995328'
donation_needs_or_offers_or_volunteering_services,'382813620356534272'
injured_or_dead_people,'382813652752928768'
other_useful_information,'382813700375474176'
other_useful_information,'382813702132867072'
caution_and_advice,'382813719941484544'
other_useful_information,'382813733623300096'
injured_or_dead_people,'382813742683398144'
other_useful_information,'382813761330888704'
injured_or_dead_people,'382813775604105216'
other_useful_information,'382813776304541697'
injured_or_dead_people,'382813788832940033'
other_useful_information,'382813812040409089'
caution_and_advice,'382813829719019521'
other_useful_information,'382813848006180864'
other_useful_information,'382813873113284608'
infrastructure_and_utilities_damage,'382813873679896576'
caution_and_advice,'382813914796290048'
other_useful_information,'382813924208308224'
donation_needs_or_offers_or_volunteering_services,'382813932437917696'
caution_and_advice,'382813945913831424'
other_useful_information,'382813996354510848'
other_useful_information,'382814017099558912'
donation_needs_or_offers_or_volunteering_services,'382814060326043648'
caution_and_advice,'382814060385161216'
not_related_or_irrelevant,'382814062196703232'
injured_or_dead_people,'382814062704226304'
other_useful_information,'382814074104328192'
sympathy_and_emotional_support,'382814074439868419'
not_related_or_irrelevant,'382814086519869441'
injured_or_dead_people,'382814114860367872'
not_related_or_irrelevant,'382814115276025856'
donation_needs_or_offers_or_volunteering_services,'382814116127465472'
not_related_or_irrelevant,'382814118056431616'
not_related_or_irrelevant,'382814125673693184'
other_useful_information,'382814125899784192'
other_useful_information,'382814128102182912'
donation_needs_or_offers_or_volunteering_services,'382814132225191936'
displaced_people_and_evacuations,'382814134032531456'
other_useful_information,'382814136285274112'
other_useful_information,'382814138235236352'
other_useful_information,'382814139623931904'
other_useful_information,'382814141620043776'
other_useful_information,'382814144824479746'
not_related_or_irrelevant,'382814146620059648'
not_related_or_irrelevant,'382814146691346432'
sympathy_and_emotional_support,'382814148851023872'
caution_and_advice,'382814149165973504'
other_useful_information,'382814152969838592'
donation_needs_or_offers_or_volunteering_services,'382814154165612544'
other_useful_information,'382814156857950208'
other_useful_information,'382814157248409600'
other_useful_information,'382814158682877952'
other_useful_information,'382814164319993856'
not_related_or_irrelevant,'382814178768990208'
donation_needs_or_offers_or_volunteering_services,'382814179624628224'
injured_or_dead_people,'382814190421168128'
donation_needs_or_offers_or_volunteering_services,'382814241843343361'
injured_or_dead_people,'382814257760321538'
injured_or_dead_people,'382814286654865408'
caution_and_advice,'382814335048773632'
other_useful_information,'382814341247938562'
not_related_or_irrelevant,'382814365323247617'
infrastructure_and_utilities_damage,'382814369425285120'
other_useful_information,'382814374018031616'
donation_needs_or_offers_or_volunteering_services,'382814414220824576'
injured_or_dead_people,'382814425574805504'
donation_needs_or_offers_or_volunteering_services,'382814450119876608'
sympathy_and_emotional_support,'382814482314973185'
other_useful_information,'382814489831555072'
injured_or_dead_people,'382814490053451776'
donation_needs_or_offers_or_volunteering_services,'382814495527038976'
sympathy_and_emotional_support,'382814514682413056'
injured_or_dead_people,'382814523507621888'
injured_or_dead_people,'382814530809511936'
not_related_or_irrelevant,'382814531753639936'
injured_or_dead_people,'382814538812641280'
not_related_or_irrelevant,'382814540481560576'
injured_or_dead_people,'382814615500902400'
injured_or_dead_people,'382814617447436288'
other_useful_information,'382814633213448192'
other_useful_information,'382814634090037248'
other_useful_information,'382814651580678144'
other_useful_information,'382814668257263616'
other_useful_information,'382814695113379840'
other_useful_information,'382814719683592193'
not_related_or_irrelevant,'382814739367084032'
not_related_or_irrelevant,'382814746774626304'
injured_or_dead_people,'382814752591732736'
donation_needs_or_offers_or_volunteering_services,'382814766852358145'
donation_needs_or_offers_or_volunteering_services,'382814800163508224'
other_useful_information,'382814800293543938'
caution_and_advice,'382814811999838208'
not_related_or_irrelevant,'382814827439071232'
other_useful_information,'382814839225077760'
injured_or_dead_people,'382814858309140480'
other_useful_information,'382814863774326784'
other_useful_information,'382814873727410176'
injured_or_dead_people,'382814888776577024'
not_related_or_irrelevant,'382814901263015937'
injured_or_dead_people,'382814936030019584'
donation_needs_or_offers_or_volunteering_services,'382814938156105729'
not_related_or_irrelevant,'382814938890129409'
not_related_or_irrelevant,'382814939666083841'
other_useful_information,'382814940223926272'
other_useful_information,'382814940936937472'
other_useful_information,'382814942023262208'
other_useful_information,'382814949988249600'
injured_or_dead_people,'382814975292481537'
not_related_or_irrelevant,'382814978098483200'
caution_and_advice,'382814979281670144'
other_useful_information,'382814989817364480'
donation_needs_or_offers_or_volunteering_services,'382814998864478208'
injured_or_dead_people,'382815020603543552'
other_useful_information,'382815028006514688'
not_related_or_irrelevant,'382815045748400128'
injured_or_dead_people,'382815054980075521'
donation_needs_or_offers_or_volunteering_services,'382815055781588992'
injured_or_dead_people,'382815067294543872'
other_useful_information,'382815093714870272'
not_related_or_irrelevant,'382815104850329600'
other_useful_information,'382815117575872513'
donation_needs_or_offers_or_volunteering_services,'382815134047272960'
other_useful_information,'382815137997942784'
injured_or_dead_people,'382815139314937856'
donation_needs_or_offers_or_volunteering_services,'382815139994415104'
injured_or_dead_people,'382815140665491456'
not_related_or_irrelevant,'382815155131662336'
other_useful_information,'382815170478628865'
sympathy_and_emotional_support,'382815170923610112'
donation_needs_or_offers_or_volunteering_services,'382815208005062656'
donation_needs_or_offers_or_volunteering_services,'382815219891712000'
donation_needs_or_offers_or_volunteering_services,'382815237940187136'
not_related_or_irrelevant,'382815263483506688'
injured_or_dead_people,'382815297347911680'
donation_needs_or_offers_or_volunteering_services,'382815302993842176'
donation_needs_or_offers_or_volunteering_services,'382815351211175936'
caution_and_advice,'382815369251282944'
not_related_or_irrelevant,'382815388720828416'
other_useful_information,'382815393079111680'
donation_needs_or_offers_or_volunteering_services,'382815402826268672'
injured_or_dead_people,'382815408903843840'
other_useful_information,'382815442080776193'
not_related_or_irrelevant,'382815450272649216'
other_useful_information,'382815462645440512'
donation_needs_or_offers_or_volunteering_services,'382815466344816640'
injured_or_dead_people,'382815477837225984'
not_related_or_irrelevant,'382815486313906177'
other_useful_information,'382815488935342082'
other_useful_information,'382815509324263424'
injured_or_dead_people,'382815529486254080'
donation_needs_or_offers_or_volunteering_services,'382815535982858240'
other_useful_information,'382815541372932096'
other_useful_information,'382815548230221826'
other_useful_information,'382815602164781056'
injured_or_dead_people,'382815604484620288'
injured_or_dead_people,'382815607491923968'
donation_needs_or_offers_or_volunteering_services,'382815624936050688'
other_useful_information,'382815628953804800'
not_related_or_irrelevant,'382815636151214080'
other_useful_information,'382815649736953856'
donation_needs_or_offers_or_volunteering_services,'382815654471938048'
not_related_or_irrelevant,'382815657425117184'
other_useful_information,'382815658540818432'
injured_or_dead_people,'382815696188891136'
other_useful_information,'382815716300177408'
donation_needs_or_offers_or_volunteering_services,'382815731915554816'
not_related_or_irrelevant,'382815751411089408'
other_useful_information,'382815776425525248'
caution_and_advice,'382815780041404416'
other_useful_information,'382815792200306688'
other_useful_information,'382815813809364992'
donation_needs_or_offers_or_volunteering_services,'382815843706343424'
injured_or_dead_people,'382815846189768704'
sympathy_and_emotional_support,'382815850040143872'
sympathy_and_emotional_support,'382815856595832832'
donation_needs_or_offers_or_volunteering_services,'382815862509826048'
donation_needs_or_offers_or_volunteering_services,'382815878179344384'
injured_or_dead_people,'382815884235915264'
donation_needs_or_offers_or_volunteering_services,'382815904834539520'
caution_and_advice,'382815940720611328'
other_useful_information,'382815962438713344'
other_useful_information,'382815973708816385'
donation_needs_or_offers_or_volunteering_services,'382816005744889857'
caution_and_advice,'382816039899521024'
other_useful_information,'382816065270874112'
other_useful_information,'382816078398648320'
other_useful_information,'382816079367512064'
not_related_or_irrelevant,'382816083977441280'
donation_needs_or_offers_or_volunteering_services,'382816095201001474'
infrastructure_and_utilities_damage,'382816114889465856'
donation_needs_or_offers_or_volunteering_services,'382816126389866497'
injured_or_dead_people,'382816138763046912'
donation_needs_or_offers_or_volunteering_services,'382816167368196096'
injured_or_dead_people,'382816180055977984'
donation_needs_or_offers_or_volunteering_services,'382816197588168704'
not_related_or_irrelevant,'382816198226096128'
other_useful_information,'382816203741622272'
donation_needs_or_offers_or_volunteering_services,'382816204877885440'
not_related_or_irrelevant,'382816210012098560'
sympathy_and_emotional_support,'382816216571604992'
infrastructure_and_utilities_damage,'382816229137719296'
other_useful_information,'382816229167099904'
not_related_or_irrelevant,'382816267591110657'
injured_or_dead_people,'382816284288643072'
not_related_or_irrelevant,'382816301028089856'
sympathy_and_emotional_support,'382816317260066818'
donation_needs_or_offers_or_volunteering_services,'382816326265229312'
not_related_or_irrelevant,'382816331961077761'
sympathy_and_emotional_support,'382816348276932609'
other_useful_information,'382816365205127168'
donation_needs_or_offers_or_volunteering_services,'382816386000502784'
other_useful_information,'382816399183577088'
donation_needs_or_offers_or_volunteering_services,'382816420356030465'
not_related_or_irrelevant,'382816433455259648'
other_useful_information,'382816452325019649'
injured_or_dead_people,'382816472713945088'
caution_and_advice,'382816510604898304'
other_useful_information,'382816512249044992'
other_useful_information,'382816557119717376'
other_useful_information,'382816558801620993'
other_useful_information,'382816578271592448'
sympathy_and_emotional_support,'382816597565382656'
other_useful_information,'382816620055248896'
other_useful_information,'382816628846895104'
donation_needs_or_offers_or_volunteering_services,'382816646769160192'
caution_and_advice,'382816648341630977'
sympathy_and_emotional_support,'382816679132020736'
donation_needs_or_offers_or_volunteering_services,'382816685335801856'
not_related_or_irrelevant,'382816715907678209'
other_useful_information,'382816752398528512'
not_related_or_irrelevant,'382816756458221569'
other_useful_information,'382816763546587137'
donation_needs_or_offers_or_volunteering_services,'382816788473729024'
donation_needs_or_offers_or_volunteering_services,'382816798799704064'
other_useful_information,'382816821529018369'
other_useful_information,'382816829875712000'
other_useful_information,'382816842097516545'
not_related_or_irrelevant,'382816843850719232'
not_related_or_irrelevant,'382816846363123713'
sympathy_and_emotional_support,'382816850884960256'
other_useful_information,'382816856631169024'
other_useful_information,'382816885345361920'
injured_or_dead_people,'382816891938406400'
injured_or_dead_people,'382816897206878208'
donation_needs_or_offers_or_volunteering_services,'382816923525709824'
infrastructure_and_utilities_damage,'382816951141015552'
other_useful_information,'382816952563277824'
injured_or_dead_people,'382816958065815552'
other_useful_information,'382816970250256384'
other_useful_information,'382816985530122240'
donation_needs_or_offers_or_volunteering_services,'382816989795741696'
other_useful_information,'382816993713213441'
other_useful_information,'382817010331037696'
not_related_or_irrelevant,'382817013053149184'
other_useful_information,'382817013355515905'
other_useful_information,'382817014873485313'
other_useful_information,'382817042132258818'
other_useful_information,'382817043637993472'
injured_or_dead_people,'382817065624543233'
other_useful_information,'382817080698888192'
not_related_or_irrelevant,'382817085069737984'
other_useful_information,'382817095710294016'
not_related_or_irrelevant,'382817097069244416'
other_useful_information,'382817115780026369'
injured_or_dead_people,'382817123409489920'
other_useful_information,'382817132859256832'
other_useful_information,'382817147962925057'
other_useful_information,'382817159321092096'
donation_needs_or_offers_or_volunteering_services,'382817160017772544'
donation_needs_or_offers_or_volunteering_services,'382817175712436224'
other_useful_information,'382817190937763840'
not_related_or_irrelevant,'382817198709809152'
other_useful_information,'382817217185710080'
not_related_or_irrelevant,'382817224739680256'
injured_or_dead_people,'382817282247770112'
donation_needs_or_offers_or_volunteering_services,'382817283846209537'
not_related_or_irrelevant,'382817293912518656'
injured_or_dead_people,'382817340909682688'
other_useful_information,'382817353882292224'
other_useful_information,'382817375956901888'
not_related_or_irrelevant,'382817392088588288'
sympathy_and_emotional_support,'382817398459342848'
not_related_or_irrelevant,'382817400300658688'
other_useful_information,'382817407091216386'
sympathy_and_emotional_support,'382817422979260417'
other_useful_information,'382817478541189120'
caution_and_advice,'382817490184978432'
donation_needs_or_offers_or_volunteering_services,'382817491925622784'
injured_or_dead_people,'382817502884945920'
donation_needs_or_offers_or_volunteering_services,'382817541351301120'
not_related_or_irrelevant,'382817567519154176'
donation_needs_or_offers_or_volunteering_services,'382817582266335232'
not_related_or_irrelevant,'382817615241957376'
not_related_or_irrelevant,'382817630614073346'
other_useful_information,'382817638004449280'
other_useful_information,'382817678903083008'
donation_needs_or_offers_or_volunteering_services,'382817718493138944'
not_related_or_irrelevant,'382817747765186560'
donation_needs_or_offers_or_volunteering_services,'382817794351714304'
other_useful_information,'382817810939789312'
not_related_or_irrelevant,'382817828422033408'
other_useful_information,'382817833874231296'
other_useful_information,'382817848319410176'
other_useful_information,'382817862349377537'
other_useful_information,'382817872516378625'
injured_or_dead_people,'382817875024965632'
injured_or_dead_people,'382817951738388480'
sympathy_and_emotional_support,'382817968205205504'
injured_or_dead_people,'382817970868588544'
other_useful_information,'382817997858959361'
other_useful_information,'382818006046212097'
not_related_or_irrelevant,'382818044294496256'
sympathy_and_emotional_support,'382818065450151936'
other_useful_information,'382818090523701248'
other_useful_information,'382818091605843969'
injured_or_dead_people,'382818101982953472'
other_useful_information,'382818105329610752'
injured_or_dead_people,'382818128243085312'
injured_or_dead_people,'382818181821509632'
infrastructure_and_utilities_damage,'382818189995827200'
other_useful_information,'382818190318764032'
other_useful_information,'382818191401299968'
other_useful_information,'382818218240274432'
other_useful_information,'382818238532308993'
other_useful_information,'382818251467530240'
caution_and_advice,'382818251648282624'
sympathy_and_emotional_support,'382818268131885056'
donation_needs_or_offers_or_volunteering_services,'382818273932218368'
not_related_or_irrelevant,'382818279854993408'
not_related_or_irrelevant,'382818279934275585'
other_useful_information,'382818298846384128'
donation_needs_or_offers_or_volunteering_services,'382818299219673089'
caution_and_advice,'382818308208091136'
donation_needs_or_offers_or_volunteering_services,'382818313556226049'
sympathy_and_emotional_support,'382818341951254529'
injured_or_dead_people,'382818363480633344'
sympathy_and_emotional_support,'382818377015640065'
donation_needs_or_offers_or_volunteering_services,'382818393809641472'
donation_needs_or_offers_or_volunteering_services,'382818398628884481'
donation_needs_or_offers_or_volunteering_services,'382818413627711490'
other_useful_information,'382818497744490496'
sympathy_and_emotional_support,'382818512819200000'
injured_or_dead_people,'382818524965502976'
donation_needs_or_offers_or_volunteering_services,'382818525020045313'
other_useful_information,'382818532578574336'
other_useful_information,'382818547132801024'
donation_needs_or_offers_or_volunteering_services,'382818557643730944'
other_useful_information,'382818560420360192'
not_related_or_irrelevant,'382818570058489857'
other_useful_information,'382818570184323072'
other_useful_information,'382818597196017664'
caution_and_advice,'382818604695044097'
other_useful_information,'382818607836565504'
other_useful_information,'382818613763112960'
injured_or_dead_people,'382818648995274752'
not_related_or_irrelevant,'382818652929544192'
injured_or_dead_people,'382818659909246976'
donation_needs_or_offers_or_volunteering_services,'382818672969920513'
donation_needs_or_offers_or_volunteering_services,'382818703777099777'
donation_needs_or_offers_or_volunteering_services,'382818707967578112'
not_related_or_irrelevant,'382818712610304001'
not_related_or_irrelevant,'382818716461068288'
injured_or_dead_people,'382818724408860672'
not_related_or_irrelevant,'382818735285080064'
other_useful_information,'382818744356986880'
donation_needs_or_offers_or_volunteering_services,'382818747251429376'
donation_needs_or_offers_or_volunteering_services,'382818754838532096'
caution_and_advice,'382818785037529088'
donation_needs_or_offers_or_volunteering_services,'382818795418419201'
other_useful_information,'382818821993537537'
other_useful_information,'382818823092854784'
injured_or_dead_people,'382818823495102464'
donation_needs_or_offers_or_volunteering_services,'382818842822451200'
infrastructure_and_utilities_damage,'382818843955314688'
caution_and_advice,'382818856621723648'
sympathy_and_emotional_support,'382818863072960512'
not_related_or_irrelevant,'382818876301791232'
not_related_or_irrelevant,'382818877274861568'
displaced_people_and_evacuations,'382818883595689984'
injured_or_dead_people,'382818911332212736'
caution_and_advice,'382818933092261888'
injured_or_dead_people,'382818939296038912'
other_useful_information,'382818961488097280'
sympathy_and_emotional_support,'382818986829684736'
other_useful_information,'382818992143867905'
other_useful_information,'382818993813204993'
injured_or_dead_people,'382819043113046016'
caution_and_advice,'382819091054342144'
not_related_or_irrelevant,'382819137501659136'
injured_or_dead_people,'382819139858870272'
not_related_or_irrelevant,'382819199414177792'
other_useful_information,'382819235749040129'
caution_and_advice,'382819259447267328'
other_useful_information,'382819348764577792'
other_useful_information,'382819349150461953'
other_useful_information,'382819355035447296'
other_useful_information,'382819355571937281'
injured_or_dead_people,'382819363184599040'
other_useful_information,'382819389768097792'
injured_or_dead_people,'382819401092706304'
displaced_people_and_evacuations,'382819416033214464'
donation_needs_or_offers_or_volunteering_services,'382819416959758338'
caution_and_advice,'382819430117675008'
other_useful_information,'382819453362130944'
other_useful_information,'382819460484067328'
donation_needs_or_offers_or_volunteering_services,'382819486929526784'
donation_needs_or_offers_or_volunteering_services,'382819489512828928'
injured_or_dead_people,'382819523000143872'
injured_or_dead_people,'382819534685491200'
other_useful_information,'382819534761369600'
other_useful_information,'382819537588326400'
other_useful_information,'382819555363414018'
other_useful_information,'382819556755914752'
injured_or_dead_people,'382819579510403072'
not_related_or_irrelevant,'382819616265084928'
other_useful_information,'382819638939504640'
injured_or_dead_people,'382819645721690113'
other_useful_information,'382819649781764096'
injured_or_dead_people,'382819652004352000'
other_useful_information,'382819657843220480'
other_useful_information,'382819659411509249'
other_useful_information,'382819696611188736'
injured_or_dead_people,'382819700377264129'
donation_needs_or_offers_or_volunteering_services,'382819703540183040'
donation_needs_or_offers_or_volunteering_services,'382819713413152769'
injured_or_dead_people,'382819717985353728'
sympathy_and_emotional_support,'382819728919523329'
other_useful_information,'382819779918065664'
donation_needs_or_offers_or_volunteering_services,'382819798436290560'
not_related_or_irrelevant,'382819801800126464'
not_related_or_irrelevant,'382819816102318080'
donation_needs_or_offers_or_volunteering_services,'382819854081732608'
not_related_or_irrelevant,'382819862109638657'
other_useful_information,'382819867776122880'
injured_or_dead_people,'382819884511797248'
other_useful_information,'382819888986746880'
caution_and_advice,'382819911031992320'
other_useful_information,'382819933010137088'
injured_or_dead_people,'382819940501164032'
injured_or_dead_people,'382819969337028608'
not_related_or_irrelevant,'382819969848729600'
not_related_or_irrelevant,'382820017672187904'
other_useful_information,'382820018695995392'
injured_or_dead_people,'382820031005859840'
other_useful_information,'382820055131893760'
other_useful_information,'382820108147888128'
not_related_or_irrelevant,'382820135687716864'
other_useful_information,'382820144000413696'
injured_or_dead_people,'382820174677946368'
other_useful_information,'382820202452246528'
donation_needs_or_offers_or_volunteering_services,'382820204994371584'
not_related_or_irrelevant,'382820222182637568'
injured_or_dead_people,'382820242289750017'
donation_needs_or_offers_or_volunteering_services,'382820253484322817'
donation_needs_or_offers_or_volunteering_services,'382820264959959040'
other_useful_information,'382820301035565056'
donation_needs_or_offers_or_volunteering_services,'382820315513896961'
injured_or_dead_people,'382820364788969472'
other_useful_information,'382820391666081792'
other_useful_information,'382820450587668480'
donation_needs_or_offers_or_volunteering_services,'382820461241184256'
donation_needs_or_offers_or_volunteering_services,'382820462830424064'
injured_or_dead_people,'382820463467970560'
injured_or_dead_people,'382820501821067265'
other_useful_information,'382820527212994560'
not_related_or_irrelevant,'382820554186981376'
injured_or_dead_people,'382820570724720640'
other_useful_information,'382820570997334016'
other_useful_information,'382820573673320448'
caution_and_advice,'382820590014693377'
injured_or_dead_people,'382820595391418368'
caution_and_advice,'382820720708833280'
other_useful_information,'382820720968880128'
other_useful_information,'382820757765500928'
not_related_or_irrelevant,'382820852904914944'
not_related_or_irrelevant,'382820878464983040'
donation_needs_or_offers_or_volunteering_services,'382820883040960512'
donation_needs_or_offers_or_volunteering_services,'382820885280747520'
donation_needs_or_offers_or_volunteering_services,'382820886296145920'
injured_or_dead_people,'382820887529271296'
not_related_or_irrelevant,'382820893656764416'
caution_and_advice,'382820917702713344'
injured_or_dead_people,'382820921540476928'
other_useful_information,'382820955682115585'
not_related_or_irrelevant,'382820963861004288'
other_useful_information,'382820971293323264'
donation_needs_or_offers_or_volunteering_services,'382820983347761152'
injured_or_dead_people,'382821025354108928'
other_useful_information,'382821063916138497'
other_useful_information,'382821085013868544'
caution_and_advice,'382821090160308224'
donation_needs_or_offers_or_volunteering_services,'382821091774705666'
caution_and_advice,'382821132958572545'
sympathy_and_emotional_support,'382821133973991424'
injured_or_dead_people,'382821134129180673'
injured_or_dead_people,'382821134179110912'
donation_needs_or_offers_or_volunteering_services,'382821174960717825'
donation_needs_or_offers_or_volunteering_services,'382821202982862848'
donation_needs_or_offers_or_volunteering_services,'382821205574946816'
caution_and_advice,'382821213820944384'
caution_and_advice,'382821223081586688'
other_useful_information,'382821232032219136'
sympathy_and_emotional_support,'382821252731109377'
injured_or_dead_people,'382821274344386560'
other_useful_information,'382821278589394945'
other_useful_information,'382821303302254592'
sympathy_and_emotional_support,'382821314299301888'
donation_needs_or_offers_or_volunteering_services,'382821327062589440'
injured_or_dead_people,'382821330787524608'
other_useful_information,'382821342183436288'
donation_needs_or_offers_or_volunteering_services,'382821366077992960'
sympathy_and_emotional_support,'382821401637695488'
injured_or_dead_people,'382821409103572992'
donation_needs_or_offers_or_volunteering_services,'382821410076639232'
other_useful_information,'382821445631356928'
displaced_people_and_evacuations,'382821448697384960'
donation_needs_or_offers_or_volunteering_services,'382821473083064320'
not_related_or_irrelevant,'382821502250270720'
other_useful_information,'382821548920700928'
injured_or_dead_people,'382821569916981248'
other_useful_information,'382821588863029248'
sympathy_and_emotional_support,'382821615341297664'
other_useful_information,'382821630965075968'
injured_or_dead_people,'382821653098409984'
injured_or_dead_people,'382821678771761153'
injured_or_dead_people,'382821704713527297'
other_useful_information,'382821717301010432'
infrastructure_and_utilities_damage,'382821736732827648'
sympathy_and_emotional_support,'382821753694990336'
other_useful_information,'382821772698984448'
not_related_or_irrelevant,'382821812012216320'
other_useful_information,'382821843012308992'
injured_or_dead_people,'382821844107407360'
other_useful_information,'382821853745516544'
other_useful_information,'382821855024799744'
other_useful_information,'382821885039611904'
injured_or_dead_people,'382821952085176321'
other_useful_information,'382821954333712385'
other_useful_information,'382821963229454336'
donation_needs_or_offers_or_volunteering_services,'382821963841806336'
other_useful_information,'382821969093484544'
donation_needs_or_offers_or_volunteering_services,'382822006825451520'
infrastructure_and_utilities_damage,'382822042762223616'
not_related_or_irrelevant,'382822064878800896'
other_useful_information,'382822073887760384'
not_related_or_irrelevant,'382822075297058816'
other_useful_information,'382822113901424641'
not_related_or_irrelevant,'382822142481825792'
other_useful_information,'382822149318512640'
donation_needs_or_offers_or_volunteering_services,'382822163742330881'
donation_needs_or_offers_or_volunteering_services,'382822179752394752'
other_useful_information,'382822198098280448'
injured_or_dead_people,'382822231643934721'
other_useful_information,'382822233908867072'
other_useful_information,'382822236907773952'
not_related_or_irrelevant,'382822265273843712'
injured_or_dead_people,'382822266196619264'
donation_needs_or_offers_or_volunteering_services,'382822283267428353'
injured_or_dead_people,'382822285281067008'
other_useful_information,'382822296672423937'
donation_needs_or_offers_or_volunteering_services,'382822305250148352'
not_related_or_irrelevant,'382822312401063936'
donation_needs_or_offers_or_volunteering_services,'382822317627150336'
injured_or_dead_people,'382822319519170560'
donation_needs_or_offers_or_volunteering_services,'382822351655546881'
infrastructure_and_utilities_damage,'382822363861364736'
other_useful_information,'382822368126595072'
not_related_or_irrelevant,'382822369699840000'
sympathy_and_emotional_support,'382822369766961152'
other_useful_information,'382822371444277249'
other_useful_information,'382822390117720064'
other_useful_information,'382822391438508032'
injured_or_dead_people,'382822400942817281'
other_useful_information,'382822405456285696'
injured_or_dead_people,'382822408068927488'
other_useful_information,'382822418383110144'
donation_needs_or_offers_or_volunteering_services,'382822435646484481'
not_related_or_irrelevant,'382822442785599488'
injured_or_dead_people,'382822442881671169'
other_useful_information,'382822446862458880'
other_useful_information,'382822449156325377'
not_related_or_irrelevant,'382822450658308096'
injured_or_dead_people,'382822450951880704'
other_useful_information,'382822451391901697'
donation_needs_or_offers_or_volunteering_services,'382822453338075136'
not_related_or_irrelevant,'382822497021734913'
injured_or_dead_people,'382822501417365505'
other_useful_information,'382822510674182144'
caution_and_advice,'382822552768233472'
not_related_or_irrelevant,'382822562331623424'
not_related_or_irrelevant,'382822566240350208'
other_useful_information,'382822589388705792'
injured_or_dead_people,'382822618291658752'
donation_needs_or_offers_or_volunteering_services,'382822621441581057'
other_useful_information,'382822628487987201'
injured_or_dead_people,'382822646053756928'
donation_needs_or_offers_or_volunteering_services,'382822678396018688'
injured_or_dead_people,'382822686445305856'
donation_needs_or_offers_or_volunteering_services,'382822699833102336'
other_useful_information,'382822705407750144'
other_useful_information,'382822712013758464'
not_related_or_irrelevant,'382822728778006529'
other_useful_information,'382822733857296386'
injured_or_dead_people,'382822749301141504'
caution_and_advice,'382822759954673664'
donation_needs_or_offers_or_volunteering_services,'382822764786089984'
other_useful_information,'382822817563045889'
other_useful_information,'382822836655509504'
donation_needs_or_offers_or_volunteering_services,'382822840338489344'
other_useful_information,'382822841030148096'
other_useful_information,'382822855915741185'
donation_needs_or_offers_or_volunteering_services,'382822857799368704'
other_useful_information,'382822862731493377'
other_useful_information,'382822874022965248'
other_useful_information,'382822879311564801'
injured_or_dead_people,'382822879940706305'
donation_needs_or_offers_or_volunteering_services,'382822886056001536'
donation_needs_or_offers_or_volunteering_services,'382822886446096384'
injured_or_dead_people,'382822888870387714'
other_useful_information,'382822908147822592'
not_related_or_irrelevant,'382822916418973696'
other_useful_information,'382822918637748224'
other_useful_information,'382822923163410432'
donation_needs_or_offers_or_volunteering_services,'382822927441215488'
sympathy_and_emotional_support,'382822929647808512'
injured_or_dead_people,'382822933896241152'
other_useful_information,'382822946068500480'
other_useful_information,'382822963080200193'
displaced_people_and_evacuations,'382822965307383809'
not_related_or_irrelevant,'382822978402385921'
other_useful_information,'382822994461995009'
not_related_or_irrelevant,'382823011025297408'
not_related_or_irrelevant,'382823025717940224'
injured_or_dead_people,'382823037638574080'
caution_and_advice,'382823053769863168'
other_useful_information,'382823063404179456'
not_related_or_irrelevant,'382823078025519104'
other_useful_information,'382823092617089024'
not_related_or_irrelevant,'382823092864966656'
other_useful_information,'382823095863504896'
not_related_or_irrelevant,'382823099097300993'
caution_and_advice,'382823137127452672'
injured_or_dead_people,'382823137194569728'
donation_needs_or_offers_or_volunteering_services,'382823138934812672'
injured_or_dead_people,'382823144479657984'
not_related_or_irrelevant,'382823165795508224'
sympathy_and_emotional_support,'382823169301544960'
injured_or_dead_people,'382823176449036288'
other_useful_information,'382823177295888384'
donation_needs_or_offers_or_volunteering_services,'382823181104742401'
other_useful_information,'382823210234183680'
injured_or_dead_people,'382823210829377536'
injured_or_dead_people,'382823210846150656'
donation_needs_or_offers_or_volunteering_services,'382823233105297408'
injured_or_dead_people,'382823256426045440'
donation_needs_or_offers_or_volunteering_services,'382823277200015360'
not_related_or_irrelevant,'382823308858642432'
donation_needs_or_offers_or_volunteering_services,'382823313489559552'
other_useful_information,'382823316442333184'
other_useful_information,'382823345521442816'
other_useful_information,'382823349220438016'
caution_and_advice,'382823351544471553'
caution_and_advice,'382823358226006016'
other_useful_information,'382823382443495424'
caution_and_advice,'382823389951307776'
sympathy_and_emotional_support,'382823394325979136'
other_useful_information,'382823409350356992'
injured_or_dead_people,'382823434503217153'
donation_needs_or_offers_or_volunteering_services,'382823434939404290'
other_useful_information,'382823444015882241'
donation_needs_or_offers_or_volunteering_services,'382823448646807552'
not_related_or_irrelevant,'382823472813969408'
other_useful_information,'382823476471803904'
