tweet_text,label
"#earthquake magnitude occurred old iliamna alaska utc #didyoufeelit?",0
"#earthquake emsc southern california magnitude region southern california date time",0
"furious moby shaking with rage against the soft plastic denny booth until his water spills",1
"look how similar these pictures are shaking sowon",1
"#earthquake nne nikiski alaska #iphone users download the earthquake app for more information",0
"earthquake occurred jul utc beluga alaska",0
"baby shaking boobs come see",1
"seokjin voice mesmerizing shaking did that #wewantseokjin",1
"magnitude earthquake yakutat alaska",0
"this ain voice will now start shaking gosh",1
"quake torn italian town fears long recovery",0
"hyungwon shaking hands with every monbebe after giving them ice cream how sweet",1
"earthquake occurred yakutat alaska utc #earthquake #yakutat",0
"year old asked will dox don like how explain your actions him? literally shaking",1
"magnitude earthquake maxwell california",0
"can you find the math the earthquake resistant structures built? ",1
"magnitude earthquake ssw lytle creek",0
"map the testimonies received far following the #earthquake fyr macedonia min ago",1
"#earthquakeph #earthquakebatangas earthquake information date and time july magnitude",0
"magnitude earthquake hits calatagan batangas last july #lindol #earthquake",1
